epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35472,2.62439,3.03755,2.53071,0.00333,1,0.00413,0.0018,1.92272,4.27702,3.1877,0,0,0
2,2.63508,2.94411,3.63621,2.87175,0.00333,1,0.00439,0.0019,1.87622,4.29587,3.19766,1.9802e-05,1.9802e-05,1.9802e-05
3,3.89501,2.62377,2.94014,2.69742,0.00333,1,0.00534,0.00236,1.81994,4.40413,3.11781,3.9208e-05,3.9208e-05,3.9208e-05
4,5.43058,2.87962,3.45049,3.15181,0.00333,1,0.00696,0.00294,1.81517,4.33173,3.09567,5.8218e-05,5.8218e-05,5.8218e-05
5,6.83567,3.03378,3.58097,3.43031,0.00333,1,0.00806,0.00291,1.8628,4.28314,3.06433,7.6832e-05,7.6832e-05,7.6832e-05
6,8.03116,2.35296,3.81991,2.88164,0.00333,1,0.02039,0.00357,1.83982,4.17217,2.94448,9.505e-05,9.505e-05,9.505e-05
7,9.35042,1.92012,3.01199,2.00476,0.00333,1,0.03477,0.00665,1.84915,4.20962,2.84525,0.000112872,0.000112872,0.000112872
8,10.7528,2.16058,3.03446,2.13087,0.00333,1,0.05515,0.00911,1.83516,4.15096,2.79523,0.000130298,0.000130298,0.000130298
9,12.0563,2.03444,3.10281,2.14193,0.00333,1,0.05515,0.00911,1.83516,4.15096,2.79523,0.000147328,0.000147328,0.000147328
10,13.4741,2.00178,2.99134,2.17731,0.00333,1,0.25293,0.03866,2.28806,4.25686,3.04826,0.000163962,0.000163962,0.000163962
11,14.9652,1.2954,2.97078,1.73161,0.00333,1,0.25293,0.03866,2.28806,4.25686,3.04826,0.0001802,0.0001802,0.0001802
12,16.2378,2.46874,3.3568,2.56777,0.00333,1,0.55382,0.16615,2.78494,4.02476,3.23312,0.000196042,0.000196042,0.000196042
13,17.5339,1.6417,2.43036,1.4185,0.00333,1,0.55382,0.16615,2.78494,4.02476,3.23312,0.000211488,0.000211488,0.000211488
14,18.8127,1.57148,2.45606,1.52128,0.00333,1,0.4975,0.15012,2.25103,4.69582,2.05188,0.000226538,0.000226538,0.000226538
15,19.8579,2.24884,2.84828,2.1266,0.00333,1,0.4975,0.15012,2.25103,4.69582,2.05188,0.000241192,0.000241192,0.000241192
16,21.1957,1.93761,2.05757,1.52226,0.00333,1,0.398,0.21888,1.85049,3.49574,1.61855,0.00025545,0.00025545,0.00025545
17,22.4071,1.3702,1.82557,1.17323,0.00333,1,0.398,0.21888,1.85049,3.49574,1.61855,0.000269312,0.000269312,0.000269312
18,23.7998,2.13617,2.65524,1.91882,0.00333,1,0.745,0.5215,1.2274,3.25581,1.32835,0.000282778,0.000282778,0.000282778
19,25.187,2.36178,3.20869,2.20896,0.00333,1,0.745,0.5215,1.2274,3.25581,1.32835,0.000295848,0.000295848,0.000295848
20,26.5498,1.12405,1.64612,1.23071,0.00333,1,0.745,0.53392,1.22107,3.03089,1.37801,0.000308522,0.000308522,0.000308522
21,27.9821,1.68287,1.63182,1.39952,0.00333,1,0.745,0.53392,1.22107,3.03089,1.37801,0.0003208,0.0003208,0.0003208
22,29.3113,1.40465,2.1865,1.28493,0.00333,1,0.995,0.36479,1.77468,3.4947,1.89212,0.000332682,0.000332682,0.000332682
23,30.4989,1.31199,2.67683,1.69036,0.00333,1,0.995,0.36479,1.77468,3.4947,1.89212,0.000344168,0.000344168,0.000344168
24,31.7952,1.25007,2.07177,1.27031,0.00333,1,0.995,0.36479,1.77468,3.4947,1.89212,0.000355258,0.000355258,0.000355258
25,33.2306,1.55865,1.55514,1.27492,0.00333,1,0.995,0.183,2.15811,3.79479,2.78803,0.000365952,0.000365952,0.000365952
26,34.5897,1.39261,1.48986,1.23145,0.00333,1,0.995,0.183,2.15811,3.79479,2.78803,0.00037625,0.00037625,0.00037625
27,35.9005,1.15423,1.32177,1.13542,0.00333,1,0.995,0.183,2.15811,3.79479,2.78803,0.000386152,0.000386152,0.000386152
28,37.2451,1.02272,1.22644,1.2442,0.00333,1,0.995,0.20115,2.06535,3.86513,2.96768,0.000395658,0.000395658,0.000395658
29,38.4635,1.22696,1.2938,1.20017,0.00333,1,0.995,0.20115,2.06535,3.86513,2.96768,0.000404768,0.000404768,0.000404768
30,39.7216,1.46699,2.43548,1.67233,0.00333,1,0.995,0.20115,2.06535,3.86513,2.96768,0.000413482,0.000413482,0.000413482
31,40.9909,1.13635,1.1995,1.09314,0.00333,1,0.995,0.15133,2.13713,4.22771,3.336,0.0004218,0.0004218,0.0004218
32,42.2587,0.75148,1.78273,1.16041,0.00333,1,0.995,0.15133,2.13713,4.22771,3.336,0.000429722,0.000429722,0.000429722
33,43.7947,1.83915,2.08977,2.14771,0.00333,1,0.995,0.15133,2.13713,4.22771,3.336,0.000437248,0.000437248,0.000437248
34,45.1167,1.02598,1.31224,1.17468,0.00333,1,0.995,0.42092,1.80325,3.65195,1.72367,0.000444378,0.000444378,0.000444378
35,46.344,0.76105,1.08341,0.98394,0.00333,1,0.995,0.42092,1.80325,3.65195,1.72367,0.000451112,0.000451112,0.000451112
36,47.7678,1.59912,2.71345,1.69832,0.00333,1,0.995,0.42092,1.80325,3.65195,1.72367,0.00045745,0.00045745,0.00045745
37,49.3071,1.53389,2.00417,1.49516,0.00333,1,0.995,0.42092,1.80325,3.65195,1.72367,0.000463392,0.000463392,0.000463392
